otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""ASFE Saúde (501866213)""","""Serviços de ambulâncias""","""33,494.33""",16,3,"""7,143,436.06""","""-31,875.38""","""33,049.87""","""131,638.86""","""20.28%""",86,"""15.69%""",12,"""20.00%"""
"""Ambulâncias Crespo, Lda (502840161)""","""Serviços de ambulâncias""","""31,099.19""",12,1,"""4,753,000.00""","""-29,480.24""","""30,654.73""","""134,034.00""","""18.83%""",90,"""11.76%""",14,"""6.67%"""
"""Associação Humanitária de Bombeiros Voluntários de Pernes (501129960)""","""Serviços de ambulâncias""","""30,993.24""",10,1,"""6,330,144.28""","""-29,374.29""","""30,548.78""","""134,139.95""","""18.77%""",92,"""9.80%""",14,"""6.67%"""
"""Palvidas - Transporte de doentes, Lda. (503253227)""","""Serviços de ambulâncias""","""9,245.99""",7,1,"""2,960,813.36""","""-7,627.04""","""8,801.53""","""155,887.20""","""5.60%""",95,"""6.86%""",14,"""6.67%"""
"""ASSOC. HUMAN. BOMB. VOL. ALCANEDE (503278190)""","""Serviços de ambulâncias""","""8,183.03""",7,1,"""1,582,000.00""","""-6,564.08""","""7,738.57""","""156,950.16""","""4.96%""",95,"""6.86%""",14,"""6.67%"""
"""CONSORCIO FEDERAÇÃO BOMBEIROS DISTRITO EVORA (507465016)""","""Serviços de ambulâncias""","""6,406.76""",2,1,"""1,520,327.29""","""-4,787.81""","""5,962.30""","""158,726.43""","""3.88%""",100,"""1.96%""",14,"""6.67%"""
"""Amo Vida - Serviços Integrados de Saúde Lda (503549860)""","""Serviços de ambulâncias""","""5,549.35""",3,2,"""834,254.36""","""-3,930.40""","""5,104.89""","""159,583.84""","""3.36%""",99,"""2.94%""",13,"""13.33%"""
"""Transportes Força de Viver, Lda (508557372)""","""Serviços de ambulâncias""","""5,129.63""",3,2,"""993,016.72""","""-3,510.68""","""4,685.17""","""160,003.56""","""3.11%""",99,"""2.94%""",13,"""13.33%"""
"""Associação Humanitária dos Bombeiros Voluntários do Sul e Sueste (501144781)""","""Serviços de ambulâncias""","""4,387.15""",4,1,"""1,946,499.25""","""-2,768.20""","""3,942.69""","""160,746.04""","""2.66%""",98,"""3.92%""",14,"""6.67%"""
"""Helped Emergency, Lda. (509388906)""","""Serviços de ambulâncias""","""2,877.25""",3,2,"""870,811.69""","""-1,258.30""","""2,432.79""","""162,255.94""","""1.74%""",99,"""2.94%""",13,"""13.33%"""
"""AMBULANCIAS STA MARIA ALCOBAÇA, LDA. (505150719)""","""Serviços de ambulâncias""","""2,872.59""",3,1,"""875,000.00""","""-1,253.64""","""2,428.13""","""162,260.60""","""1.74%""",99,"""2.94%""",14,"""6.67%"""
"""ABACINUS, LDA (507435125)""","""Serviços de ambulâncias""","""2,685.71""",5,1,"""80,571.28""","""-1,066.76""","""2,241.25""","""162,447.48""","""1.63%""",97,"""4.90%""",14,"""6.67%"""
"""ASSOC. BOMBEIROS VOL. MINDE (501318089)""","""Serviços de ambulâncias""","""2,570.03""",4,1,"""680,000.00""","""-951.08""","""2,125.57""","""162,563.16""","""1.56%""",98,"""3.92%""",14,"""6.67%"""
"""Cruz Vermelha Portuguesa (500745749)""","""Serviços de ambulâncias""","""2,400.74""",5,2,"""759,857.95""","""-781.79""","""1,956.28""","""162,732.45""","""1.45%""",97,"""4.90%""",13,"""13.33%"""
"""Transportes Flor da Ria, S.A. (502606460)""","""Serviços de ambulâncias""","""2,249.47""",1,1,"""2,123,495.55""","""-630.52""","""1,805.01""","""162,883.72""","""1.36%""",101,"""0.98%""",14,"""6.67%"""
"""Ambulâncias 111 - Serviço de transporte de doentes e sinistrados, S.A. (502757566)""","""Serviços de ambulâncias""","""2,041.10""",1,1,"""745,000.00""","""-422.15""","""1,596.64""","""163,092.09""","""1.24%""",101,"""0.98%""",14,"""6.67%"""
"""Década Dourada, Lda (509611095)""","""Serviços de ambulâncias""","""1,782.59""",1,1,"""53,477.59""","""-163.64""","""1,338.13""","""163,350.60""","""1.08%""",101,"""0.98%""",14,"""6.67%"""
"""SALVAVIDA (506532160)""","""Serviços de ambulâncias""","""1,516.93""",1,1,"""417,157.00""","""102.02""","""1,072.47""","""163,616.26""","""0.92%""",101,"""0.98%""",14,"""6.67%"""
"""Medy Ambulâncias, Lda (508555817)""","""Serviços de ambulâncias""","""1,468.86""",1,1,"""403,936.20""","""150.09""","""1,024.40""","""163,664.33""","""0.89%""",101,"""0.98%""",14,"""6.67%"""
"""Associação Humanitária Bombeiros Municipais de Constância (501158529)""","""Serviços de ambulâncias""","""1,369.86""",1,1,"""500,000.00""","""249.09""","""925.40""","""163,763.33""","""0.83%""",101,"""0.98%""",14,"""6.67%"""
"""Damos Vida - Serviços de saude Lda (514319143)""","""Serviços de ambulâncias""","""939.21""",1,1,"""343,750.20""","""679.74""","""494.75""","""164,193.98""","""0.57%""",101,"""0.98%""",14,"""6.67%"""
"""Dávida, transporte de doentes, Lda. (507756835)""","""Serviços de ambulâncias""","""845.64""",1,1,"""308,658.24""","""773.31""","""401.18""","""164,287.55""","""0.51%""",101,"""0.98%""",14,"""6.67%"""
"""Joaquim Ferreira de Carvalho, LDA (500556660)""","""Serviços de ambulâncias""","""819.67""",1,1,"""300,000.00""","""799.28""","""375.21""","""164,313.52""","""0.50%""",101,"""0.98%""",14,"""6.67%"""
"""Gaiaamb - Transporte de Doentes, Ace  (514181494)""","""Serviços de ambulâncias""","""741.18""",1,1,"""155,648.50""","""877.77""","""296.72""","""164,392.01""","""0.45%""",101,"""0.98%""",14,"""6.67%"""
"""ASSOCIAÇÃO HUMANITÁRIA DE BOMBEIROS VOLUNTÁRIOS DE OEIRAS (500979030)""","""Serviços de ambulâncias""","""684.93""",1,1,"""250,000.00""","""934.02""","""240.47""","""164,448.26""","""0.41%""",101,"""0.98%""",14,"""6.67%"""
"""Associação Humanitária de Bombeiros Voluntários do Concelho de Óbidos (501289216)""","""Serviços de ambulâncias""","""575.34""",1,1,"""420,000.00""","""1,043.61""","""130.88""","""164,557.85""","""0.35%""",101,"""0.98%""",14,"""6.67%"""
"""2 Light - Healthcare Solutions, Lda. (514188987)""","""Serviços de ambulâncias""","""540.66""",1,1,"""197,340.00""","""1,078.29""","""96.20""","""164,592.53""","""0.33%""",101,"""0.98%""",14,"""6.67%"""
"""Associação Humanitária de Bombeiros Voluntários de Fátima (503677370)""","""Serviços de ambulâncias""","""410.96""",1,1,"""150,000.00""","""1,207.99""","""-33.50""","""164,722.23""","""0.25%""",101,"""0.98%""",14,"""6.67%"""
"""ASC, Ambulancias Santa Cecilia, Unip. Lda (510905099)""","""Serviços de ambulâncias""","""364.38""",1,1,"""266,365.00""","""1,254.57""","""-80.08""","""164,768.81""","""0.22%""",101,"""0.98%""",14,"""6.67%"""
"""AM - AMBULANCIAS DO MINHO, LDA (514040408)""","""Serviços de ambulâncias""","""340.23""",1,1,"""227,617.01""","""1,278.72""","""-104.23""","""164,792.96""","""0.21%""",101,"""0.98%""",14,"""6.67%"""
"""ASSOC.HUMAN.BOMB.VOL.MIRA  AIRE (501354409)""","""Serviços de ambulâncias""","""273.97""",1,1,"""100,000.00""","""1,344.98""","""-170.49""","""164,859.22""","""0.17%""",101,"""0.98%""",14,"""6.67%"""
"""Associação Humanitária Bombeiros Voluntários Torrejanos (501094717)""","""Serviços de ambulâncias""","""273.22""",1,1,"""100,000.00""","""1,345.73""","""-171.24""","""164,859.97""","""0.17%""",101,"""0.98%""",14,"""6.67%"""